regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Cattaraugus County,NY,36,77497,72460,77672,85506,87498,93963,109346,113854,117473,122702,127292,130437,133664,40162,40231,76907,76426,6.1,6.2,5.3,4.9,9.1,5.3,"51,824",70.6
Cayuga County,NY,36,123602,123370,126067,136991,139702,153844,169552,171540,172916,174173,175794,177278,179025,36681,36751,76095,75880,5.1,5,4.4,4.1,7.6,4.7,"59,335",80.9
Sullivan County,NY,36,0,128371,140823,144902,156184,206560,234768,238290,243111,247912,252836,258151,265854,49181,49565,78643,79806,4.9,4.9,4.1,3.8,8.4,4.9,"63,915",87.1
Madison County,NY,36,125658,131183,139270,144956,148909,163008,178028,179183,181144,183459,186895,189868,193498,30563,30629,67890,67658,5.4,5.5,4.8,4.3,7.5,4.5,"64,379",87.8
Warren County,NY,36,204884,211608,208009,221145,216118,266794,293709,302055,310122,317113,321325,325017,328198,39952,40144,65638,65618,5.3,5.2,4.6,4.4,8.1,4.9,"67,359",91.8
Livingston County,NY,36,124507,132654,136557,143052,151246,164211,178590,179849,181152,182351,184739,188878,193227,27123,27163,61699,61578,5,5,4.3,4.1,6.8,4.3,"60,947",83.1
Herkimer County,NY,36,100246,105582,111845,117252,122163,127091,134882,138583,141911,143803,143906,147400,150923,32346,32408,60007,59937,5.6,5.7,4.9,4.7,7.9,5.8,"59,893",81.6
Washington County,NY,36,143502,150132,157082,162918,167717,182548,194400,197645,197934,198136,198558,198969,199128,29021,29098,61143,60956,4.7,4.6,4.1,3.9,6.9,4.6,"60,973",83.1
Columbia County,NY,36,231006,232907,246206,265236,273833,342792,357452,363098,368643,373124,376387,379777,379945,33239,33301,61550,61778,3.7,3.8,3.3,3.1,5.9,3.8,"66,068",90.1
Otsego County,NY,36,135934,140802,147197,152528,157021,170974,181512,184505,184736,184901,185640,187148,188621,29842,29922,58351,58123,5,5,4.3,4.1,6.9,4.4,"58,417",79.6
Genesee County,NY,36,116139,122922,129894,136097,144967,158541,172938,174954,177297,178800,180436,181634,182781,26020,26098,58258,57853,4.7,4.7,4.1,3.8,7.1,4.3,"62,641",85.4
Fulton County,NY,36,103636,109061,113993,117788,121277,144453,160553,162741,164559,164036,164372,164198,165924,28096,28133,53160,53116,5.8,5.7,5.1,4.8,8.3,5.5,"55,405",75.5
Franklin County,NY,36,97347,102941,109478,114720,118116,128427,137088,139264,139455,139763,140324,141409,142516,25346,25418,47527,47456,5.8,6,5.1,4.8,7.9,4.7,"58,709",80
