CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
30020,,40031,"Comanche County, OK",County or equivalent,124098,124098,125397,126075,126536,124949,124778,124005,121743,121786,120528,120749,121125,121129,122063
35020,,22029,"Concordia Parish, LA",County or equivalent,20822,20822,20839,20842,20501,20500,20479,20228,19970,19846,19586,19259,18687,18589,18376
41860,36084,6013,"Contra Costa County, CA",County or equivalent,1049025,1049204,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526,1165927,1165562,1161413
16980,16984,17031,"Cook County, IL",County or equivalent,5194675,5195026,5199016,5219780,5239351,5252875,5254675,5244088,5224272,5200821,5171960,5150233,5275541,5262741,5173146
23620,,48097,"Cooke County, TX",County or equivalent,38437,38436,38472,38443,38717,38456,38764,39170,39343,39932,40504,41257,41668,41697,42244
17860,,29053,"Cooper County, MO",County or equivalent,17601,17604,17603,17554,17537,17610,17564,17614,17702,17647,17626,17709,17103,17089,17115
13620,,33007,"Coos County, NH",County or equivalent,33055,33052,32970,32507,31978,31949,32779,32343,31916,31396,31486,31563,31268,31173,31289
18300,,41011,"Coos County, OR",County or equivalent,63043,63055,63007,62775,62676,62376,62361,62643,63319,63708,64272,64487,64929,64887,64999
10760,,1037,"Coosa County, AL",County or equivalent,11539,11756,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663,10387,10383,10450
27140,,28029,"Copiah County, MS",County or equivalent,29449,29448,29434,29278,29047,28941,28977,28865,28647,28528,28400,28065,28368,28293,27995
18660,,36023,"Cortland County, NY",County or equivalent,49336,49290,49279,49380,49023,48905,48740,48290,47915,47815,47722,47581,46809,46723,46311
28660,,48099,"Coryell County, TX",County or equivalent,75388,75474,75651,76625,78458,76761,76166,76145,74803,74760,74741,75951,83093,83096,84232
18740,,39031,"Coshocton County, OH",County or equivalent,36901,36900,36938,36931,36823,36723,36531,36577,36617,36536,36596,36600,36612,36548,36618
30020,,40033,"Cotton County, OK",County or equivalent,6193,6190,6172,6180,6160,6164,6131,6006,5933,5863,5820,5666,5527,5543,5480
25620,,28031,"Covington County, MS",County or equivalent,19568,19573,19577,19485,19443,19208,19151,19243,19174,19014,18825,18636,18340,18313,18279
12060,,13077,"Coweta County, GA",County or equivalent,127317,127369,127937,129374,130593,132944,135140,138145,140497,143153,145998,148509,146158,146653,149956
49060,,20035,"Cowley County, KS",County or equivalent,36311,36309,36312,36249,36267,36170,35896,35752,35650,35297,35149,34908,34549,34498,34496
31020,,53015,"Cowlitz County, WA",County or equivalent,102410,102408,102358,102309,101663,101483,101790,102999,104740,106805,108752,110593,110730,110924,111524
40220,,51045,"Craig County, VA",County or equivalent,5190,5175,5198,5169,5138,5138,5176,5136,5120,5062,5102,5131,4892,4880,4865
27860,,5031,"Craighead County, AR",County or equivalent,96443,96443,96748,98405,99993,101653,102661,104457,105932,107188,108816,110332,111231,111576,112218
35100,,37049,"Craven County, NC",County or equivalent,103505,103498,104171,104831,105319,104285,104055,102853,102632,102492,102338,102139,100720,100552,100674
22900,,5033,"Crawford County, AR",County or equivalent,61948,61935,61956,61796,61911,61667,61807,61904,62263,62894,63379,63257,60133,60107,60378
31420,,13079,"Crawford County, GA",County or equivalent,12630,12601,12587,12585,12579,12483,12401,12354,12268,12263,12334,12404,12130,12100,12153
38260,,20037,"Crawford County, KS",County or equivalent,39134,39135,39172,39204,39324,39250,39269,39139,39046,38925,38911,38818,38972,38930,39110
15340,,39033,"Crawford County, OH",County or equivalent,43784,43783,43754,43310,42776,42713,42407,42324,42095,41710,41484,41494,42025,41928,41754
32740,,42039,"Crawford County, PA",County or equivalent,88765,88750,88614,88167,87730,87508,87154,86510,86306,85772,85110,84629,83938,83723,83351
46140,,40037,"Creek County, OK",County or equivalent,69967,69992,70248,70651,70760,70575,70559,70801,71191,71890,71730,71522,71754,71776,72029
18380,,13081,"Crisp County, GA",County or equivalent,23439,23433,23433,23753,23589,23298,23061,22959,22905,22710,22617,22372,20128,20042,19879
32820,,5035,"Crittenden County, AR",County or equivalent,50902,50907,50958,50517,50077,49739,49536,49019,49306,48716,48363,47955,48163,48067,47525
27180,,47033,"Crockett County, TN",County or equivalent,14586,14576,14588,14560,14610,14610,14652,14586,14448,14436,14296,14230,13911,13884,13979
39260,,41013,"Crook County, OR",County or equivalent,20978,20978,20884,20638,20607,20699,20956,21455,22306,23065,23825,24404,24738,24923,25739
23940,,56011,"Crook County, WY",County or equivalent,7083,7080,7118,7118,7139,7149,7234,7435,7499,7397,7445,7584,7181,7178,7315
31180,,48107,"Crosby County, TX",County or equivalent,6059,6056,6026,6044,6036,5924,5825,5918,5911,5849,5764,5737,5133,5098,5106
14660,,27035,"Crow Wing County, MN",County or equivalent,62500,62512,62609,62677,62810,62998,63104,63229,63729,64278,64794,65055,66123,66236,67270
18980,,1043,"Cullman County, AL",County or equivalent,80406,80406,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768,87866,88044,89496
47900,47894,51047,"Culpeper County, VA",County or equivalent,46689,46688,46838,47345,47844,48606,49237,49551,50319,51235,51795,52605,52552,52717,53596
16660,,17035,"Cumberland County, IL",County or equivalent,11048,11045,11053,11080,10950,10904,10923,10860,10868,10880,10804,10766,10450,10428,10345
38860,,23005,"Cumberland County, ME",County or equivalent,281674,281690,281474,282709,283645,285537,288086,289488,291191,292181,293673,295003,303069,303312,305231
22180,,37051,"Cumberland County, NC",County or equivalent,319431,319431,327197,330503,329985,332997,332364,331203,333167,330994,333430,335509,334728,334370,335508
47220,,34011,"Cumberland County, NJ",County or equivalent,156898,156627,156699,157043,156934,156098,156009,154712,153233,151423,150635,149527,154152,153848,153627
25420,,42041,"Cumberland County, PA",County or equivalent,235406,235387,235886,237107,239244,241059,243280,245744,247369,249024,251131,253370,259469,259996,262919
18900,,47035,"Cumberland County, TN",County or equivalent,56053,56060,56193,56527,56990,57438,57924,58217,58580,59023,59738,60520,61145,61272,62451
47260,,37053,"Currituck County, NC",County or equivalent,23547,23547,23674,23906,24025,24253,24820,25106,25640,26290,27016,27763,28100,28385,29653
17580,,35009,"Curry County, NM",County or equivalent,48376,48376,48971,49819,50806,50775,51109,50290,50283,49794,49338,48954,48430,48325,47999
15060,,41015,"Curry County, OR",County or equivalent,22364,22364,22378,22488,22257,22226,22141,22293,22607,22630,22795,22925,23446,23503,23683
48220,,40039,"Custer County, OK",County or equivalent,27469,27540,27580,27796,28590,29310,29509,29565,29222,28974,28995,29003,28513,28423,28163
17460,,39035,"Cuyahoga County, OH",County or equivalent,1280122,1280114,1278088,1270331,1266106,1265442,1263201,1258739,1254144,1247581,1241718,1235072,1264817,1261696,1249387
16860,,13083,"Dade County, GA",County or equivalent,16633,16643,16630,16600,16518,16453,16289,16162,16224,16254,16227,16116,16251,16224,16326
33460,,27037,"Dakota County, MN",County or equivalent,398552,398590,399211,401771,404613,407895,411725,414131,417555,421518,425040,429021,439882,440317,442038
43580,,31043,"Dakota County, NE",County or equivalent,21006,21006,21034,20811,20714,20765,20547,20550,20279,20010,20002,20026,21582,21502,21241
37120,,1045,"Dale County, AL",County or equivalent,50251,50251,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172,49326,49214,49342
42820,,1047,"Dallas County, AL",County or equivalent,43820,43813,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196,38462,38190,37619
19780,,19049,"Dallas County, IA",County or equivalent,66135,66139,66750,69696,72235,74949,77739,80631,84248,87208,89953,93453,99678,100486,103796
44180,,29059,"Dallas County, MO",County or equivalent,16777,16769,16722,16687,16694,16458,16335,16344,16381,16699,16782,16878,17071,17099,17341
19100,19124,48113,"Dallas County, TX",County or equivalent,2368139,2367430,2372993,2408697,2455930,2484486,2519410,2557830,2591488,2620154,2629350,2635516,2613539,2610957,2586050
31540,,55025,"Dane County, WI",County or equivalent,488073,488081,489218,496009,502902,509762,516282,523000,531296,537453,541948,546695,561504,562306,563951
19260,,51590,"Danville city, VA",County or equivalent,43055,43071,42924,42645,42705,42623,42263,41947,41665,41044,40649,40044,42590,42465,42215
28620,,37055,"Dare County, NC",County or equivalent,33920,33920,33982,34156,34383,34810,34894,35468,35829,36199,36607,37009,36915,37001,37826
24820,,39037,"Darke County, OH",County or equivalent,52959,52968,52963,52653,52515,52306,52184,51981,51624,51549,51299,51113,51881,51882,51597
22500,,45031,"Darlington County, SC",County or equivalent,68681,68611,68522,68168,68056,67808,67647,67520,67259,66981,66759,66618,62905,62833,62755
25420,,42043,"Dauphin County, PA",County or equivalent,268100,268126,268281,269249,270005,271431,272223,273085,274196,275714,276864,278299,286401,286544,287400
49180,,37057,"Davidson County, NC",County or equivalent,162878,162822,162840,162923,163040,163295,163383,163486,164270,165180,166358,167609,168930,169131,170637
34980,,47037,"Davidson County, TN",County or equivalent,626681,626558,627746,635918,649344,660179,669611,679793,685829,687159,690516,694144,715884,715486,703953
49180,,37059,"Davie County, NC",County or equivalent,41240,41221,41254,41335,41281,41435,41259,41648,41921,42308,42563,42846,42712,42806,43533
47780,,18027,"Daviess County, IN",County or equivalent,31648,31654,31720,31950,32116,32282,32680,32823,33010,33136,33278,33351,33381,33391,33397
36980,,21059,"Daviess County, KY",County or equivalent,96656,96641,96704,97159,97840,98294,98441,99485,100032,100461,100883,101511,103312,103291,103063
36260,,49011,"Davis County, UT",County or equivalent,306479,306492,307910,311852,315926,322228,328714,334597,341000,346658,351101,355481,362679,363492,367285
33580,,46035,"Davison County, SD",County or equivalent,19504,19504,19482,19720,19952,19941,19967,19916,20011,19870,19784,19775,19956,19936,19878
12060,,13085,"Dawson County, GA",County or equivalent,22330,22382,22328,22340,22513,22732,23022,23369,23668,24406,25127,26108,26798,27047,28497
30420,,31047,"Dawson County, NE",County or equivalent,24326,24326,24312,24216,23977,24016,23986,23892,23779,23657,23744,23595,24111,24039,23898
29500,,48115,"Dawson County, TX",County or equivalent,13833,13833,13826,13747,13611,13219,13445,12987,12999,12744,12605,12728,12456,12439,12413
43340,,22031,"De Soto Parish, LA",County or equivalent,26656,26656,26670,26779,27023,27089,27061,27101,27190,27267,27426,27463,26812,26854,26919
25820,,48117,"Deaf Smith County, TX",County or equivalent,19372,19372,19467,19522,19373,19180,19123,18825,18846,18753,18711,18546,18583,18503,18329
17140,,18029,"Dearborn County, IN",County or equivalent,50047,50027,50083,49986,49727,49739,49418,49455,49436,49564,49482,49458,50679,50726,50816
12460,,13087,"Decatur County, GA",County or equivalent,27842,27842,27817,27651,27442,27391,27167,27049,26679,26706,26573,26404,29367,29338,29038
24700,,18031,"Decatur County, IN",County or equivalent,25740,25739,25798,25902,26043,26236,26416,26339,26565,26620,26725,26559,26472,26477,26320
19580,,39039,"Defiance County, OH",County or equivalent,39037,39026,39082,39005,38827,38564,38525,38326,38140,38156,38089,38087,38286,38227,38144
22840,,1049,"DeKalb County, AL",County or equivalent,71109,71120,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513,71608,71630,71813
12060,,13089,"DeKalb County, GA",County or equivalent,691893,691961,692443,698329,710557,717740,724892,734434,746802,751176,754906,759297,764382,763831,757718
16980,20994,17037,"DeKalb County, IL",County or equivalent,105160,105162,105145,104450,104365,104202,104560,104195,104080,104309,104349,104897,100420,100233,100414
12140,,18033,"DeKalb County, IN",County or equivalent,42223,42255,42336,42494,42328,42369,42428,42496,42652,42806,43208,43475,43265,43274,43333
41140,,29063,"DeKalb County, MO",County or equivalent,12892,12884,12895,12813,12777,12628,12539,12540,12496,12532,12515,12547,11029,11014,11098
18860,,6015,"Del Norte County, CA",County or equivalent,28610,28610,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812,27743,27709,28100
34620,,18035,"Delaware County, IN",County or equivalent,117671,117670,117665,117901,117027,116831,116487,115767,115657,115246,114297,114135,111903,111669,111871
18140,,39041,"Delaware County, OH",County or equivalent,174214,174172,175099,178535,181127,185380,189440,193391,197144,200870,205091,209177,214124,215062,220740
37980,37964,42045,"Delaware County, PA",County or equivalent,558979,558757,558981,559275,560761,561499,562696,563225,563708,563858,565231,566747,576830,576388,573849
21540,,26041,"Delta County, MI",County or equivalent,37069,37069,37047,36943,36836,36799,36580,36415,36196,35890,35843,35784,36903,36842,36826
19100,19124,48121,"Denton County, TX",County or equivalent,662614,662557,666760,685740,707892,728624,753188,779584,808212,835364,858741,887207,906422,913900,941647
19740,,8031,"Denver County, CO",County or equivalent,600158,599825,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211,715522,717630,711463
15460,,19057,"Des Moines County, IA",County or equivalent,40325,40325,40241,40066,40229,40395,40096,39874,39613,39326,39149,38967,38910,38831,38491
13460,,41017,"Deschutes County, OR",County or equivalent,157733,157728,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692,198253,199355,204801
11580,,12027,"DeSoto County, FL",County or equivalent,34862,34862,34934,34845,35005,34905,35338,35648,36255,37241,37368,38001,33976,34080,34408
32820,,28033,"DeSoto County, MS",County or equivalent,161252,161267,161778,164075,166426,168370,170760,173271,175721,179005,181932,184945,185314,185902,188633
44020,,19059,"Dickinson County, IA",County or equivalent,16667,16667,16670,16859,16925,16878,16840,17004,17109,17141,17121,17258,17703,17747,17851
27020,,26043,"Dickinson County, MI",County or equivalent,26168,26168,26158,26068,26172,26015,25898,25661,25499,25424,25371,25239,25947,25886,25787
34980,,47043,"Dickson County, TN",County or equivalent,49666,49650,49684,49982,50214,50164,50465,51334,51900,52774,53446,53948,54315,54432,55292
40060,,51053,"Dinwiddie County, VA",County or equivalent,28001,28012,28063,28119,28223,28084,28094,28148,28468,28630,28633,28544,27947,27900,27912
47900,47894,11001,"District of Columbia, DC",County or equivalent,601723,601767,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,689545,690093,670050
43580,,31051,"Dixon County, NE",County or equivalent,6000,6003,5988,5998,5888,5815,5760,5769,5742,5746,5700,5636,5606,5580,5545
17220,,54017,"Doddridge County, WV",County or equivalent,8202,8201,8198,8252,8296,8549,8471,8703,8576,8518,8556,8448,7808,7786,7735
40340,,27039,"Dodge County, MN",County or equivalent,20087,20087,20154,20200,20267,20334,20384,20410,20540,20696,20767,20934,20867,20861,20935
23340,,31053,"Dodge County, NE",County or equivalent,36691,36685,36673,36930,36590,36497,36614,36567,36677,36789,36725,36565,37167,37102,37103
13180,,55027,"Dodge County, WI",County or equivalent,88759,88750,88728,88389,88148,87933,88071,87816,87382,87705,87833,87839,89396,89262,89313
29740,,35013,"Do–a Ana County, NM",County or equivalent,209233,209217,210097,213126,214450,214288,213933,214034,214663,216174,217278,218195,219561,219899,221508
41140,,20043,"Doniphan County, KS",County or equivalent,7945,7948,7960,7960,7890,7876,7840,7788,7718,7657,7658,7600,7510,7469,7471
15700,,24019,"Dorchester County, MD",County or equivalent,32618,32623,32688,32699,32476,32555,32492,32419,32276,32105,31960,31929,32531,32508,32489
16700,,45035,"Dorchester County, SC",County or equivalent,136555,136144,137030,140149,142608,145538,148748,152809,156173,158988,160718,162809,161540,161975,163327
10500,,13095,"Dougherty County, GA",County or equivalent,94565,94564,94513,95063,94694,93411,92742,91513,90389,89457,89200,87956,85790,85366,84844
19740,,8035,"Douglas County, CO",County or equivalent,285465,285465,286977,292548,298708,306234,314545,322025,328219,335816,342989,351154,357978,360102,368990
12060,,13097,"Douglas County, GA",County or equivalent,132403,132282,132573,133106,133555,136024,138007,140173,141664,143376,145024,146343,144237,144497,145814
29940,,20045,"Douglas County, KS",County or equivalent,110826,110826,111198,112479,113313,114713,116445,118141,119662,120281,121109,122259,118785,118814,119363
10820,,27041,"Douglas County, MN",County or equivalent,36009,36011,35989,36181,36292,36349,36576,36790,37154,37520,37960,38141,39006,39079,39238
36540,,31055,"Douglas County, NE",County or equivalent,517110,517116,518574,524167,530755,536734,543005,549029,555607,560733,566391,571327,584526,585010,585008
23820,,32005,"Douglas County, NV",County or equivalent,46997,47000,47037,46971,46910,46935,47373,47404,47834,48030,48489,48905,49488,49468,49870
40700,,41019,"Douglas County, OR",County or equivalent,107667,107684,107631,107229,106922,106603,106693,107164,108116,109197,110114,110980,111201,111235,111978
48300,,53017,"Douglas County, WA",County or equivalent,38431,38427,38514,38662,39197,39387,39773,40545,41366,42027,42749,43429,42938,42998,43696
20260,,55031,"Douglas County, WI",County or equivalent,44159,44159,44134,43958,43751,43760,43643,43495,43359,43328,43143,43150,44295,44275,44203
27540,,18037,"Dubois County, IN",County or equivalent,41889,41886,41905,42162,42083,42275,42297,42317,42450,42538,42674,42736,43637,43604,43549
20220,,19061,"Dubuque County, IA",County or equivalent,93653,93643,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311,99266,99229,98718
47240,,25007,"Dukes County, MA",County or equivalent,16535,16535,16572,16697,16829,17159,17297,17274,17315,17311,17329,17332,20600,20581,21097
28380,,29069,"Dunklin County, MO",County or equivalent,31953,31957,31950,32010,31841,31724,31303,30844,30562,30121,29478,29131,28283,28178,27717
32860,,55033,"Dunn County, WI",County or equivalent,43857,43865,43887,43800,43806,44046,44075,44267,44354,44714,45091,45368,45440,45440,45547
16980,16984,17043,"DuPage County, IL",County or equivalent,916924,916741,917983,924831,928666,932231,933425,933609,931256,930265,927247,922921,932877,931153,924885
20500,,37063,"Durham County, NC",County or equivalent,267587,270001,271357,276563,282659,288723,295137,300793,307826,312153,316979,321488,324833,325602,326126
39100,,36027,"Dutchess County, NY",County or equivalent,297488,297454,297728,298133,297023,296268,295127,294039,293029,293545,293939,294218,295911,295742,297112
27260,,12031,"Duval County, FL",County or equivalent,864263,864253,865628,872355,880108,885943,896668,910578,926010,937933,948652,957755,995567,996373,999935
10860,,48131,"Duval County, TX",County or equivalent,11782,11777,11724,11796,11582,11581,11509,11336,11431,11270,11147,11157,9831,9808,9756
20540,,47045,"Dyer County, TN",County or equivalent,38335,38330,38318,38118,38188,38093,37807,37753,37542,37339,37286,37159,36801,36646,36615
20780,,8037,"Eagle County, CO",County or equivalent,52197,52201,52099,52051,52334,52816,53276,53865,54541,54929,54943,55127,55731,55665,55727
12940,,22033,"East Baton Rouge Parish, LA",County or equivalent,440171,440525,440912,441564,442955,444181,445119,445512,446677,444511,442058,440059,456781,455884,453301
12940,,22037,"East Feliciana Parish, LA",County or equivalent,20267,20260,20157,20085,19860,19601,19677,19540,19513,19380,19286,19135,19539,19451,19338
29620,,26045,"Eaton County, MI",County or equivalent,107759,107761,107746,107921,107996,108264,108639,108661,109183,109456,109710,110268,109175,109106,108944
20740,,55035,"Eau Claire County, WI",County or equivalent,98736,98881,99017,99938,100839,101734,101690,102080,102907,103582,104355,104646,105710,105818,106452
46660,,13101,"Echols County, GA",County or equivalent,4034,4023,4015,4064,3967,3993,4032,4030,3956,3914,4000,4006,3697,3696,3699
36220,,48135,"Ector County, TX",County or equivalent,137130,137136,137075,139642,144495,149656,154588,159903,157858,156951,161960,166223,165171,165467,161091
16100,,35015,"Eddy County, NM",County or equivalent,53829,53828,53909,54070,54419,55662,56682,57715,57650,57108,57729,58460,62314,62257,60911
40580,,37065,"Edgecombe County, NC",County or equivalent,56552,56539,56619,56050,55675,55422,54866,53743,53283,52756,51984,51472,48900,48697,48359
12260,,45037,"Edgefield County, SC",County or equivalent,26985,26965,26963,26891,26559,26567,26651,26782,26626,26837,27132,27260,25657,25675,26153
14540,,21061,"Edmonson County, KY",County or equivalent,12161,12177,12228,12229,12091,12058,12007,11991,12076,12226,12249,12150,12126,12132,12291
10100,,46045,"Edmunds County, SD",County or equivalent,4071,4071,4065,4041,4011,4023,3969,3996,3939,3915,3866,3829,3986,3977,4033
42340,,13103,"Effingham County, GA",County or equivalent,52250,52255,52464,52692,53330,54419,55410,57076,58699,60086,62228,64296,64769,65150,66741
20820,,17049,"Effingham County, IL",County or equivalent,34242,34246,34224,34270,34273,34217,34122,34202,34170,34123,34181,34008,34668,34614,34430
40900,,6017,"El Dorado County, CA",County or equivalent,181058,181058,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843,191185,191114,193221
17820,,8041,"El Paso County, CO",County or equivalent,622263,622253,627031,637305,646003,655209,663129,674001,688277,700099,712089,720403,730395,731847,737867
21340,,48141,"El Paso County, TX",County or equivalent,800647,800633,803576,819896,832310,830864,833783,831898,834949,837401,836825,839238,865657,866093,867947
19740,,8039,"Elbert County, CO",County or equivalent,23086,23088,23142,23178,23274,23541,24031,24630,25157,25765,26303,26729,26062,26206,27128
41260,,42047,"Elk County, PA",County or equivalent,31946,31946,31861,31799,31618,31461,31187,30897,30512,30271,30110,29910,30990,30927,30783
21140,,18039,"Elkhart County, IN",County or equivalent,197559,197569,197451,198279,198968,200205,201423,202995,203642,204194,205617,206341,207047,206842,206921
21220,,32007,"Elko County, NV",County or equivalent,48818,48942,49088,49442,50969,52334,52531,51728,52082,52357,52539,52778,53702,53750,53915
25700,,20051,"Ellis County, KS",County or equivalent,28452,28452,28424,28765,29089,29030,28963,28999,28942,28735,28646,28553,28934,28931,28790
49260,,40045,"Ellis County, OK",County or equivalent,4151,4151,4158,4040,4080,4133,4118,4223,4085,3970,3939,3859,3749,3745,3762
19100,19124,48139,"Ellis County, TX",County or equivalent,149610,149610,150367,152373,153739,155928,159204,163292,168332,173405,179006,184826,192455,194272,202678
33860,,1051,"Elmore County, AL",County or equivalent,79303,79272,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209,87977,88116,89304
34300,,16039,"Elmore County, ID",County or equivalent,27038,27040,27121,26221,26287,26267,26226,25826,26137,26881,27362,27511,28666,28668,28827
44500,,48143,"Erath County, TX",County or equivalent,37890,37895,37912,38922,39405,39886,40514,41191,41372,41723,42223,42698,42545,42715,43378
15380,,36029,"Erie County, NY",County or equivalent,919040,919134,919152,919843,919906,920869,921755,920644,918678,919034,919717,918702,954236,953254,950683
41780,,39043,"Erie County, OH",County or equivalent,77079,77063,76978,76687,76428,76053,75809,75360,74999,74760,74513,74266,75622,75429,74852
21500,,42049,"Erie County, PA",County or equivalent,280566,280584,280799,281327,281532,280717,279423,278174,276170,273558,271544,269728,270876,270427,269011
12120,,1053,"Escambia County, AL",County or equivalent,38319,38320,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633,36757,36665,36699
37860,,12033,"Escambia County, FL",County or equivalent,297619,297620,298038,299401,303423,306694,307960,309311,311473,313249,315104,318316,321905,322424,322390
14460,15764,25009,"Essex County, MA",County or equivalent,743159,743082,745461,751507,757338,764563,771653,776865,779847,784453,788183,789034,809829,809218,807074
35620,35084,34013,"Essex County, NJ",County or equivalent,783969,783891,784037,785551,785063,786649,788726,790439,792689,796349,798570,798975,863728,862032,854917
40080,,21065,"Estill County, KY",County or equivalent,14672,14679,14713,14654,14503,14482,14441,14373,14315,14178,14150,14106,14163,14134,14092
23460,,1055,"Etowah County, AL",County or equivalent,104430,104429,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268,103436,103393,103162
21220,,32011,"Eureka County, NV",County or equivalent,1987,1987,1990,1977,1991,2049,1988,2029,1936,1946,1998,2029,1855,1847,1903
21820,,2090,"Fairbanks North Star Borough, AK",County or equivalent,97581,97585,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849,95655,95286,95593
47900,47894,51600,"Fairfax city, VA",County or equivalent,22565,22554,22614,22460,22894,23230,23310,23230,23246,23435,23725,24019,24146,24129,24276
47900,47894,51059,"Fairfax County, VA",County or equivalent,1081726,1081703,1086155,1103439,1120395,1131784,1136271,1140401,1144188,1148728,1148463,1147532,1150309,1148472,1139720
14860,,9001,"Fairfield County, CT",County or equivalent,916829,916904,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332,957419,955895,959768
18140,,39045,"Fairfield County, OH",County or equivalent,146156,146194,146417,147174,147301,148796,150360,151254,152789,154686,155982,157574,158921,159357,161064
17900,,45039,"Fairfield County, SC",County or equivalent,23956,23959,23840,23572,23405,23194,23025,22874,22633,22593,22376,22347,20948,20858,20690
47900,47894,51610,"Falls Church city, VA",County or equivalent,12332,12244,12399,12660,13087,13360,13416,13728,13582,14245,14467,14617,14658,14654,14493
47380,,48145,"Falls County, TX",County or equivalent,17866,17863,17891,17848,17570,17242,17210,17216,17276,17340,17231,17297,16968,16961,17313
14300,,48147,"Fannin County, TX",County or equivalent,33915,33910,33920,33878,33601,33510,33593,33502,33933,34550,35185,35514,35662,35732,36569
30780,,5045,"Faulkner County, AR",County or equivalent,113237,113238,114026,116280,118523,119176,120562,121241,122206,123530,125138,126007,123498,123666,125106
47900,47894,51061,"Fauquier County, VA",County or equivalent,65203,65228,65440,66032,66561,67139,68116,68423,68805,69547,70642,71222,72972,72938,73815
12060,,13113,"Fayette County, GA",County or equivalent,106567,106560,106938,107156,107315,108054,109199,110141,111218,112553,113181,114421,119194,119441,120574
18220,,18041,"Fayette County, IN",County or equivalent,24277,24301,24325,24150,23947,23826,23442,23388,23252,23154,23076,23102,23398,23333,23360
30460,,21067,"Fayette County, KY",County or equivalent,295803,295870,296848,301696,305947,309865,311784,315819,319644,321964,322426,323152,322570,322403,321793
47920,,39047,"Fayette County, OH",County or equivalent,29030,29034,29014,28867,28767,28686,28650,28611,28670,28639,28653,28525,28951,28939,28906
38300,,42051,"Fayette County, PA",County or equivalent,136606,136601,136441,136015,135288,134601,133999,133252,132350,131309,130323,129274,128804,128393,126931
32820,,47047,"Fayette County, TN",County or equivalent,38413,38439,38427,38570,38686,38812,39123,39280,39703,40150,40556,41133,41990,42139,42832
13220,,54019,"Fayette County, WV",County or equivalent,46039,46049,46030,45921,45861,45557,45159,44707,44179,43607,42982,42406,40488,40358,39927
40340,,27045,"Fillmore County, MN",County or equivalent,20866,20868,20862,20834,20831,20751,20771,20739,20916,20980,21044,21067,21228,21246,21271
23780,,20055,"Finney County, KS",County or equivalent,36776,36785,36952,37115,37110,37073,37119,37148,36885,36720,36528,36467,38470,38297,38107
19660,,12035,"Flagler County, FL",County or equivalent,95696,95692,96066,97462,98434,99798,101889,104436,107406,109999,112085,115081,115378,115968,120932
28060,,30029,"Flathead County, MT",County or equivalent,90928,90927,90864,91270,91597,92935,94567,95839,97742,100091,102017,103806,104357,104773,108454
22500,,45041,"Florence County, SC",County or equivalent,136885,136965,137140,137632,137985,138178,138779,138715,138595,138495,138277,138293,137059,136805,136504
27020,,55037,"Florence County, WI",County or equivalent,4423,4423,4398,4382,4366,4383,4344,4338,4313,4335,4294,4295,4558,4556,4593
40660,,13115,"Floyd County, GA",County or equivalent,96317,96314,96431,96161,95940,95880,95868,96186,96698,97500,97964,98498,98584,98593,98771
31140,,18043,"Floyd County, IN",County or equivalent,74578,74579,74709,74978,75260,76018,76094,76505,76734,77006,77834,78522,80484,80437,80454
16820,,51065,"Fluvanna County, VA",County or equivalent,25691,25742,25791,25956,25883,25825,25969,26133,26187,26480,26898,27270,27249,27280,27723
22540,,55039,"Fond du Lac County, WI",County or equivalent,101633,101623,101576,101810,101788,101787,101977,101955,102211,102417,103001,103403,104154,104076,104362
19980,,20057,"Ford County, KS",County or equivalent,33848,33844,34008,34372,34665,34879,34930,34629,34552,34218,33877,33619,34287,34206,34159
25620,,28035,"Forrest County, MS",County or equivalent,74934,74862,74941,75790,76412,76584,75822,75593,75564,75155,74912,74897,78158,78136,77875
12060,,13117,"Forsyth County, GA",County or equivalent,175511,175484,176723,181794,186793,193801,202598,211250,220481,228940,236993,244252,251283,252786,260206
49180,,37067,"Forsyth County, NC",County or equivalent,350670,350638,351374,354524,357598,360594,364439,367365,371260,375840,379216,382295,382590,382733,385523
