CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
19220,,21021,"Boyle County, KY",County or equivalent,28432,28443,28674,28800,29020,29632,29810,29782,29965,29972,30082,30060,30614,30701,30747
17140,,21023,"Bracken County, KY",County or equivalent,8488,8486,8513,8510,8462,8423,8359,8290,8368,8285,8278,8303,8400,8390,8439
42380,,42015,"Bradford County, PA",County or equivalent,62622,62700,62731,63109,63000,62510,61947,61644,61092,60963,60794,60323,59967,59858,59892
17420,,47011,"Bradley County, TN",County or equivalent,98963,98926,99083,99798,101049,101778,102771,103774,104390,105421,107050,108110,108620,108741,110162
17740,,26023,"Branch County, MI",County or equivalent,45248,45242,45174,43923,43792,43587,43733,43639,43466,43375,43566,43517,44862,44810,44985
15260,,13025,"Brantley County, GA",County or equivalent,18411,18428,18479,18561,18532,18257,18366,18437,18415,18832,18985,19109,18021,18040,18101
26420,,48039,"Brazoria County, TX",County or equivalent,313166,313117,314428,319147,324224,329890,337570,345227,353155,361853,368887,374264,372031,373368,379689
17780,,48041,"Brazos County, TX",County or equivalent,194851,194861,195666,197450,200260,204116,208975,216258,219739,223917,225781,229211,233849,234480,237032
47940,,19017,"Bremer County, IA",County or equivalent,24276,24280,24295,24381,24496,24579,24670,24746,24747,24823,24941,25062,24988,24974,25081
37340,,12009,"Brevard County, FL",County or equivalent,543376,543372,543965,544359,546966,550255,555548,565746,576874,587769,595203,601942,606612,608007,616628
28700,,51520,"Bristol city, VA",County or equivalent,17835,17738,17766,17717,17692,17386,17191,17146,17088,16880,16685,16762,17219,17259,17054
39300,,25005,"Bristol County, MA",County or equivalent,548285,548242,549166,549308,551120,552379,555090,556863,558070,560941,564092,565217,579200,579172,580164
39300,,44001,"Bristol County, RI",County or equivalent,49875,49844,49818,49233,49268,49247,49074,49127,48844,48734,48637,48479,50793,50750,50818
35620,35614,36005,"Bronx County, NY",County or equivalent,1385108,1384580,1387298,1397335,1411496,1421928,1430942,1440005,1444417,1440625,1432087,1418207,1472654,1466438,1424948
48260,,54009,"Brooke County, WV",County or equivalent,24069,24051,23978,23814,23677,23589,23368,23190,22663,22373,22129,21939,22559,22469,22140
15100,,46011,"Brookings County, SD",County or equivalent,31965,31966,31999,32140,32768,33016,33250,33800,34301,34749,35077,35077,34375,34339,34639
46660,,13027,"Brooks County, GA",County or equivalent,16243,16314,16246,15982,15617,15649,15526,15670,15725,15617,15479,15457,16301,16232,16270
13780,,36007,"Broome County, NY",County or equivalent,200600,200675,200481,199363,198667,197914,197251,195928,194498,193100,191925,190488,198683,198199,197240
19740,,8014,"Broomfield County, CO",County or equivalent,55889,55861,56226,57493,58971,60149,61764,64866,66513,68263,69324,70465,74112,74513,75325
33100,22744,12011,"Broward County, FL",County or equivalent,1748066,1748146,1752803,1786980,1814253,1836600,1860933,1885040,1912583,1934516,1946107,1952778,1944375,1941516,1930983
26900,,18013,"Brown County, IN",County or equivalent,15242,15244,15207,15076,15049,15055,14944,14994,14996,15010,15230,15092,15475,15470,15552
35580,,27015,"Brown County, MN",County or equivalent,25893,25893,25843,25658,25412,25267,25272,25240,25272,25172,25125,25008,25912,25885,25819
