,RegionID,RegionName,Statename,julyvalue16,julyvalue17,julyvalue18,julyvalue19,julyvalue20,julyvalue21,Janvalue22,febvalue22,marchvalue22,aprvalue22,mayvalue22,junevalue22,julyvalue22,JulyListings22,JulyInv22,pop20,PopMale20,PopFemale20,MedianAge20,MedianAgeMale20,medianAgeFemale20,pop21,PopMale21,PopFemale21,MedianAgeMale21,MedianAgeFemale21,MedianAge21,StateCode
25,394327,"Anchorage, AK",AK,302056,300881,302762,318670,314808,323434,325332,329979,333268,341021,347830,357237,364410,666.0,1277,398097.0,204718.0,193379.0,35.1,34.6,35.7,398807.0,205103.0,193704.0,34.9,35.9,35.4,15
26,394330,"Andrews, TX",TX,134101,148544,161087,169967,178496,198724,210367,214015,214669,216783,217809,220941,223659,20.0,85,18612.0,9541.0,9071.0,31.4,31.3,31.6,18440.0,9418.0,9022.0,31.9,32.1,32.0,2
27,394331,"Angola, IN",IN,150770,158979,169277,178779,183977,210189,224020,228020,229544,231213,232222,234582,236957,41.0,87,34440.0,17506.0,16934.0,43.9,42.6,45.3,34632.0,17653.0,16979.0,42.7,45.5,44.1,16
28,394332,"Ann Arbor, MI",MI,249536,266058,285644,303019,304284,337100,352606,357619,364195,370743,375738,378960,380880,501.0,957,371656.0,184873.0,186783.0,34.3,33.4,35.3,369390.0,183523.0,185867.0,33.8,35.7,34.8,4
29,394333,"Anniston, AL",AL,92196,93764,97223,102655,107138,126308,136060,138955,141888,143847,145186,146078,146680,139.0,335,116266.0,56287.0,59979.0,40.1,38.6,41.4,115972.0,56089.0,59883.0,38.7,41.5,40.1,11
30,394334,"Appleton, WI",WI,156803,169431,179609,190832,202039,232578,246728,249819,254289,258992,264463,268043,269054,278.0,806,243308.0,122467.0,120841.0,39.3,38.5,40.1,244084.0,122872.0,121212.0,38.7,40.3,39.5,17
31,394335,"Arcadia, FL",FL,110325,118062,128512,136731,145316,167328,181672,186459,189494,193240,195668,200357,204403,36.0,97,34080.0,19150.0,14930.0,41.5,40.0,44.5,34408.0,19266.0,15142.0,40.6,45.1,42.9,18
32,394336,"Ardmore, OK",OK,84019,87070,87543,92046,97270,105405,112003,114429,115141,116157,116892,118575,120456,51.0,147,58146.0,28630.0,29516.0,38.1,37.0,39.3,58507.0,28767.0,29740.0,37.0,39.2,38.1,3
33,394337,"Arkadelphia, AR",AR,80235,84149,89450,94611,92169,98652,104170,107219,108669,109814,110230,110960,111676,18.0,56,21362.0,10241.0,11121.0,33.0,32.0,33.9,21321.0,10237.0,11084.0,31.6,33.6,32.6,19
34,394338,"Asheville, NC",NC,221781,241506,261734,271656,284986,336493,373937,379964,385327,392486,398585,404463,408491,799.0,1576,469454.0,227044.0,242410.0,44.5,43.2,45.9,472341.0,228238.0,244103.0,43.4,46.0,44.7,20
35,394339,"Ashland, OH",OH,119872,125250,134043,141958,147219,167470,176434,179049,179687,180238,180884,182769,184615,65.0,127,52420.0,25890.0,26530.0,40.3,39.3,41.4,52316.0,25810.0,26506.0,39.5,41.4,40.5,5
36,394340,"Ashtabula, OH",OH,98694,101448,103899,110643,116133,124809,139892,141499,143065,147031,150060,153094,153418,110.0,236,97413.0,49370.0,48043.0,42.7,41.3,44.1,97337.0,49447.0,47890.0,41.2,44.2,42.7,5
37,394341,"Astoria, OR",OR,315205,335325,348938,364883,375403,455336,484393,489150,496072,507880,520337,528788,533086,94.0,205,41089.0,20426.0,20663.0,44.6,43.8,45.5,41810.0,20802.0,21008.0,44.0,45.5,44.8,8
38,394342,"Atchison, KS",KS,84578,88029,92990,94381,96633,109091,114727,115633,115785,115891,116585,118424,120313,18.0,38,16305.0,7941.0,8364.0,37.3,36.6,38.0,16239.0,7917.0,8322.0,36.9,38.3,37.6,21
39,394343,"Athens, OH",OH,115279,121928,130245,136900,141076,158486,164941,166990,167229,167479,168001,169654,171682,44.0,132,62350.0,31132.0,31218.0,31.4,30.9,31.9,62056.0,30958.0,31098.0,31.1,32.0,31.6,5
40,394344,"Athens, TN",TN,115738,120929,128621,136177,142140,158087,173869,177646,181544,184330,188009,191689,193885,85.0,176,53315.0,26212.0,27103.0,42.9,41.7,44.0,54059.0,26601.0,27458.0,41.5,43.8,42.6,22
41,394345,"Athens, TX",TX,0,155287,163517,170562,167444,220922,247252,251240,255741,262410,269911,277741,283329,157.0,421,82348.0,40600.0,41748.0,43.9,42.4,45.4,83667.0,41133.0,42534.0,42.3,45.3,43.8,2
42,394346,"Athens, GA",GA,165942,177214,193489,207794,222599,250872,283632,290870,295545,300248,303028,307257,310961,247.0,509,215638.0,104241.0,111397.0,33.3,32.5,34.0,217759.0,105199.0,112560.0,32.7,34.2,33.5,7
43,394347,"Atlanta, GA",GA,191887,205745,224986,239610,251496,301376,346109,352903,360053,367476,374700,380060,382616,9957.0,20588,6101146.0,2962286.0,3138860.0,37.0,35.9,38.0,6144050.0,2979550.0,3164500.0,36.2,38.2,37.2,7
44,394348,"Atlantic City, NJ",NJ,180571,180184,191404,202464,211979,258523,282939,288138,294108,304122,308656,312019,310250,430.0,1333,274191.0,133678.0,140513.0,42.2,40.6,43.8,274966.0,134217.0,140749.0,40.7,43.9,42.3,23
45,394349,"Auburn, IN",IN,112819,122689,128117,142031,153068,174631,191510,194690,197844,201697,204784,207717,209456,59.0,101,43274.0,21562.0,21712.0,39.2,38.5,39.8,43333.0,21615.0,21718.0,38.6,40.0,39.3,16
46,394350,"Auburn, NY",NY,123602,123370,126067,136991,139702,153844,169552,171540,172916,174173,175794,177278,179025,78.0,165,76095.0,39287.0,36808.0,43.5,42.1,45.1,75880.0,39217.0,36663.0,42.1,45.1,43.6,9
47,394351,"Auburn, AL",AL,169872,181798,195215,204380,211895,235707,0,252952,258296,260151,265097,270303,276579,224.0,557,174601.0,86245.0,88356.0,33.3,32.0,34.6,177218.0,87445.0,89773.0,32.4,35.0,33.7,11
48,394352,"Augusta, GA",GA,135650,137698,148082,154948,163917,187635,205379,208824,211557,214216,216952,219945,222695,878.0,1775,611720.0,298845.0,312875.0,38.1,36.6,39.5,615933.0,300606.0,315327.0,36.7,39.7,38.2,7
49,394353,"Augusta, ME",ME,151756,156119,165604,171105,187506,242784,254678,256571,262226,266122,271818,274172,277401,199.0,340,123754.0,60703.0,63051.0,44.1,42.9,45.3,124486.0,60955.0,63531.0,42.8,45.2,44.0,24
